"Item Code","Item Description","Part No.","Part Description","Model","Unit Of Measurement","Spare Part Type","Location","Specify","Part Category","Is Expiry date Required","Min Nos","Max Nos","Minimum Price Per Nos (RM)","Maximum Price Per Nos (RM)","Brand","Status","Expiry Age (In Month)","Current Stock Level"
"BP0003","Bulbs/ Lamps","01-1301-0601-001","Bulb 12V 50W","M650","Unit","One Off","Company Site Office","","Biomedical","Yes","5","10"," [$700Tue, 03 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$700Sun, 08 Jul 1900 00:00:00 +0000] * #,##0.00 ","Leica","Active","0","0"
"BP0027","Switchs/ Knobs/Buttons","01-0802-0502-021","Fresenius 4008S Float Switch Complete","","Unit","One Off","Company Site Office","","Biomedical","Yes","1","3"," [$600Wed, 20 Jun 1900 00:57:36 +0000] * #,##0.00 "," [$700Sun, 08 Jul 1900 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","0"
"BP0026","Solenoids/ Valves/ Gauges","01-0802-0503-035","Fresenius 4008S Reliief valve completed","","Unit","One Off","Company Site Office","","Biomedical","Yes","1","5"," [$600Wed, 27 Jun 1900 00:00:00 +0000] * #,##0.00 "," [$700Sun, 15 Jul 1900 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","0"
"BP0025","Sensors/ Detectors","01-1603-1710-003","SPO2 REUSABLE SENSOR PEDIATRIC LNCS DCIP","Radical 7","Unit","One Off","Company Site Office","","Biomedical","Yes","2","5"," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 "," [$102Sun, 19 Jan 1902 00:00:00 +0000] * #,##0.00 ","MASIMO","Active","0","4"
"BP0021","Power Cords/ Adaptors (or any part of it)","01-0322-0101-005","COMMON ITEM POWER CORD 3 MTR","Common","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","50"," [$100Fri, 19 Jan 1900 12:00:00 +0000] * #,##0.00 "," [$200Tue, 06 Feb 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","0","21"
"BP0011","Equipment Specific Parts","01-1700-0000-001","EQUIPMENT SPECIFIC PARTS (IN HOUSE)","Trinias C12/F12","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","50"," [$527Thu, 19 May 1927 00:00:00 +0000] * #,##0.00 "," [$1073Thu, 14 Oct 2173 00:00:00 +0000] * #,##0.00 ","Shimadzu","Active","","5"
"BP0014","Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes","01-1909-0205-002","Male & Female Connector","Dekamet MK3","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","10","50"," [$100Tue, 02 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Tue, 02 Jan 1900 12:00:00 +0000] * #,##0.00 ","Accoson","Active","0","46"
"BP0006","Cuffs","01-0203-0102-010","X-Large Cuff Adult 1 TB","","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","10","50"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Sat, 13 Jan 1900 00:00:00 +0000] * #,##0.00 ","Critikon/Velcro","Active","0","23"
"BP0012","Filters","01-0802-0203-001","Diacap Ultra DF - Online Filter","7102001","Unit","One Off","Company Site Office","","Biomedical","Yes","10","20"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$101Fri, 04 Jan 1901 00:00:00 +0000] * #,##0.00 ","B.Braun","Active","0","10"
"BP0003","Bulbs/ Lamps","01-1201-0103-005","Lamp for Laryngoscope","Welch Allyn","Unit","Just In Time","Company Site Office","","Biomedical","Yes","3","10"," [$100Fri, 26 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$200Wed, 28 Feb 1900 00:00:00 +0000] * #,##0.00 ","Welch Allyn","Active","0","5"
"BP0001","Batteries/ UPS","01-1909-0102-005","Rechargeable Battery 12V 700Mah","5200","Unit","Just In Time","Centralized","","Biomedical","Yes","5","20"," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 "," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 ","Top","Active","0","11"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-0102-012","NIHON KOHDEN CHEST ELECTROLUDE ADULT COMPLEX","6851k","Unit","One Off","Company Site Office","","Biomedical","Yes","0","100"," [$200Wed, 28 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$400Sun, 01 Apr 1900 00:00:00 +0000] * #,##0.00 ","Nihon Kohden","Active","0","16"
"BP0003","Bulbs/ Lamps","01-1902-0601-001","BULB 6V 20W","Sl-D Series","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","10"," [$600Wed, 13 Jun 1900 00:00:00 +0000] * #,##0.00 "," [$800Tue, 28 Aug 1900 12:00:00 +0000] * #,##0.00 ","Topcon","Active","0","1"
"BP0003","Bulbs/ Lamps","01-1502-0101-008","Bulb WELCH ALLYN 03100","Welch Allyn","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","30"," [$200Sun, 04 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$200Sat, 24 Feb 1900 04:48:00 +0000] * #,##0.00 ","Welch Allyn","Active","0","2"
"BP0003","Bulbs/ Lamps","01-1503-0301-001","3.5v Streak Lamp 08200","71670","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","15"," [$200Sun, 04 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$300Fri, 09 Mar 1900 00:00:00 +0000] * #,##0.00 ","Welch Allyn","Active","0","9"
"BP0001","Batteries/ UPS","01-2206-0101-001","BATTERY SERVO-I MARQUET","Servo-i","Unit","Just In Time","Centralized","","Biomedical","Yes","0","20"," [$403Tue, 14 Apr 1903 00:00:00 +0000] * #,##0.00 "," [$504Sat, 28 May 1904 00:00:00 +0000] * #,##0.00 ","","Active","0","1"
"BP0001","Batteries/ UPS","01-1604-2602-001","BATTERY LITHIUM ION","","Unit","Just In Time","Centralized","","Biomedical","Yes","0","1"," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 "," [$1002Fri, 31 Oct 1902 00:00:00 +0000] * #,##0.00 ","PHILIPS","Active","0","4"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2607-001","Transpac IV Cable HP PHILIPS","GE","Unit","Just In Time","Company Site Office","","Biomedical","Yes","1","100"," [$900Thu, 06 Sep 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Philips","Active","0","4"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2603-001","SPO2 Adult Finger Clip Sensor M1196A","SureSigns VSi","Unit","Just In Time","Company Site Office","","Biomedical","Yes","2","5"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 ","Philips","Active","0","0"
"BP0001","Batteries/ UPS","01-1909-0902-001","Battery 6v 2200 mah","Injectomat Agilia","Unit","One Off","Company Site Office","","Biomedical","Yes","1","30"," [$500Sat, 19 May 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","0"
"BP0003","Bulbs/ Lamps","01-1203-0201-001","300 Watts Xenon Lamp","","Unit","Just In Time","Company Site Office","","Biomedical","Yes","2","5"," [$803Sat, 22 Aug 1903 00:00:00 +0000] * #,##0.00 "," [$704Sun, 24 Jul 1904 12:00:00 +0000] * #,##0.00 ","Olympus","Active","0","0"
"BP0006","Cuffs","01-1601-1301-007","CUFF S/H ADULT (PHILIPS)","V24 (Pm)","Unit","One Off","Company Site Office","","Biomedical","Yes","0","20"," [$300Fri, 30 Mar 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","AGILENT","Active","0","13"
"BP0025","Sensors/ Detectors","01-2202-1402-001","Oxygen Sensor","Servo-i","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","9"," [$1101Sat, 30 Nov 1901 00:00:00 +0000] * #,##0.00 "," [$1003Sun, 11 Oct 1903 00:00:00 +0000] * #,##0.00 ","","Active","0","0"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0502-0106-001","POWER CORD 5 METER 3 PIN","","Unit","Just In Time","Company Site Office","","Biomedical","Yes","0","30"," [$100Sat, 27 Jan 1900 12:00:00 +0000] * #,##0.00 "," [$200Mon, 19 Feb 1900 00:00:00 +0000] * #,##0.00 ","Erbe","Active","0","1"
"BP0011","Equipment Specific Parts","01-0909-0200-002","Power Board","Or-1500h","Unit","One Off","Company Site Office","","Biomedical","Yes","5","10"," [$1201Fri, 20 Dec 1901 00:00:00 +0000] * #,##0.00 "," [$902Fri, 26 Sep 1902 00:00:00 +0000] * #,##0.00 ","","Active","0","2"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2604-002","Cable 5 leadset grabber M1971A","SureSigns VM4","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","5","10"," [$401Wed, 24 Apr 1901 00:00:00 +0000] * #,##0.00 "," [$1201Sun, 15 Dec 1901 00:00:00 +0000] * #,##0.00 ","Philips","Active","0","1"
"BP0011","Equipment Specific Parts","01-1700-0000-002","MAINTAINANCE SPARE PART (IN HOUSE)","","Unit","One Off","Company Site Office","","Biomedical","Yes","1","50"," [$100Sun, 07 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$360Fri, 25 Mar 1960 00:00:00 +0000] * #,##0.00 ","","Active","0","3"
"BP0006","Cuffs","01-0203-0301-016","Cuff Connector Female","Bp8800","Unit","Just In Time","Company Site Office","","Biomedical","Yes","5","30"," [$100Wed, 03 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Sun, 07 Jan 1900 00:00:00 +0000] * #,##0.00 ","COLIN","Active","0","3"
"BP0012","Filters","01-1805-0101-003","Cotton Filter-20 Inch","","Unit","Just In Time","Company Site Office","","Biomedical","Yes","5","10"," [$100Mon, 15 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$200Thu, 01 Feb 1900 04:48:00 +0000] * #,##0.00 ","Waterman","Active","0","20"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0203-0902-002","MINDRAY SPO2 Extension Cable, Sensor 2.4m (0010-20-42594)","Pm 600","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","10"," [$400Thu, 19 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$400Sun, 29 Apr 1900 00:00:00 +0000] * #,##0.00 ","Mindray","Active","0","23"
"BP0025","Sensors/ Detectors","01-2202-0302-001","SIEMENS SERVO 9000 OXYGEN SENSOR OOM202","Sv300","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","15"," [$600Thu, 07 Jun 1900 20:24:00 +0000] * #,##0.00 "," [$800Sun, 05 Aug 1900 12:00:00 +0000] * #,##0.00 ","Siemens","Active","0","0"
"BP0010","Electronic Components","01-0322-0101-017","PETTY CASH","Common","Unit","One Off","Company Site Office","","Biomedical","Yes","1","36"," [$100Mon, 01 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Common","Active","0","57"
"BP0006","Cuffs","01-0203-0301-017","Cuff Connector Male","Bp8800","Unit","Just In Time","Company Site Office","","Biomedical","Yes","5","30"," [$100Wed, 03 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Sat, 06 Jan 1900 00:00:00 +0000] * #,##0.00 ","COLIN","Active","0","11"
"BP0001","Batteries/ UPS","01-1909-0101-001","Rechargeable Battery","Top 5100","Unit","Just In Time","Company Site Office","","Biomedical","Yes","2","3"," [$500Sat, 19 May 1900 00:00:00 +0000] * #,##0.00 "," [$600Sat, 16 Jun 1900 00:00:00 +0000] * #,##0.00 ","Top","Active","0","0"
"BP0026","Solenoids/ Valves/ Gauges","01-2202-0201-002","Vent. Exhalation Valve Assy","8400","Unit","Just In Time","Company Site Office","","Biomedical","Yes","1","3"," [$502Sat, 03 May 1902 00:00:00 +0000] * #,##0.00 "," [$904Sat, 03 Sep 1904 00:00:00 +0000] * #,##0.00 ","BIRD","Active","0","0"
"BP0026","Solenoids/ Valves/ Gauges","01-0802-0503-206","VALVE SPRING SET BIC-4008/S V10","Fresenius 4008 NG","Unit","One Off","Company Site Office","","Biomedical","No","5","15"," [$400Mon, 09 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 ","Fresenius","Active","","8"
"BP0005","Casing/ Covers/ Brackets/ Latches/ Part Holders","01-0903-0202-016","Battery Cover Assembly ,TOP 3300","Top 3300","Unit","Just In Time","Company Site Office","","Biomedical","Yes","3","6"," [$900Thu, 13 Sep 1900 03:36:00 +0000] * #,##0.00 "," [$1100Thu, 29 Nov 1900 02:24:00 +0000] * #,##0.00 ","TOP","Active","0","4"
"BP0025","Sensors/ Detectors","01-2202-0000-001","Oxygen Sensor","7200","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","1","3"," [$403Tue, 14 Apr 1903 00:00:00 +0000] * #,##0.00 "," [$1003Sun, 11 Oct 1903 00:00:00 +0000] * #,##0.00 ","","Active","0","0"
"BP0025","Sensors/ Detectors","01-0903-0202-001","Drop Sensor TOP 3300 (89T) T6330522","Top 3300","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","2","5"," [$1201Wed, 18 Dec 1901 00:00:00 +0000] * #,##0.00 "," [$402Fri, 04 Apr 1902 16:48:00 +0000] * #,##0.00 ","Top","Active","0","0"
"BP0011","Equipment Specific Parts","01-0803-0105-003","900MR858 Electrical Adaptor","Mr850","Unit","Just In Time","Company Site Office","","Biomedical","Yes","3","10"," [$1000Wed, 24 Oct 1900 19:12:00 +0000] * #,##0.00 "," [$1200Sat, 08 Dec 1900 14:52:48 +0000] * #,##0.00 ","Fisher & Paykel","Active","0","2"
"BP0026","Solenoids/ Valves/ Gauges","01-0802-0503-010","Solenoid Valve (Chamber)","","Unit","One Off","Company Site Office","","Biomedical","Yes","1","2"," [$101Fri, 04 Jan 1901 00:00:00 +0000] * #,##0.00 "," [$201Thu, 28 Feb 1901 12:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","8"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2601-002","ECG 3 LEAD TRUNK CABLE","IntelliVue MP40","Unit","One Off","Company Site Office","","Biomedical","Yes","5","10"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 ","Philips","Active","0","10"
"BP0025","Sensors/ Detectors","01-2202-1103-004","ANASTHESIA","Common","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","5","10"," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$1000Mon, 01 Oct 1900 00:00:00 +0000] * #,##0.00 ","Common","Active","0","13"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1604-2604-001","Cable 5 lead ECG trunk M1668A","SureSigns VM4","Unit","Fast Moving Item","Company Site Office","","Biomedical","Yes","5","10"," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 "," [$1001Fri, 11 Oct 1901 00:00:00 +0000] * #,##0.00 ","Philips","Active","0","1"
"BP0025","Sensors/ Detectors","01-0101-0101-045","Oxygen Sensor (OOM102-1)","Elite 615","Unit","Just In Time","Company Site Office","","Biomedical","Yes","3","10"," [$1000Fri, 26 Oct 1900 00:00:00 +0000] * #,##0.00 "," [$1100Thu, 15 Nov 1900 00:00:00 +0000] * #,##0.00 ","ULCO","Active","6","0"
"BP0001","Batteries/ UPS","01-0203-0909-001","Rechargeable Battery 11.1V, Mindray iMEC8","Mindray iMEC8","Unit","One Off","Company Site Office","","Biomedical","No","2","5"," [$201Sun, 03 Feb 1901 00:00:00 +0000] * #,##0.00 "," [$301Mon, 25 Mar 1901 00:00:00 +0000] * #,##0.00 ","Mindray","Active","","2"
"BP0012","Filters","01-0802-0503-001","Diasafe Plus Filter","4008s","Unit","Just In Time","Company Site Office","","Biomedical","No","1","60"," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$800Wed, 29 Aug 1900 12:00:00 +0000] * #,##0.00 ","Fresenius","Active","0","0"
"BP0023","PPM/ Service/Maintenance/ Repair Kits","01-0802-0503-014","Fresenius 4008S PPM Kit Yearly","4008s","Unit","Just In Time","Company Site Office","","Biomedical","No","1","35"," [$501Tue, 14 May 1901 00:00:00 +0000] * #,##0.00 "," [$601Thu, 13 Jun 1901 00:00:00 +0000] * #,##0.00 ","FRESENIUS","Active","0","0"
"BP0003","Bulbs/ Lamps","01-1505-0302-001","Bulb 24 V 150 W, OSRAM","Osram","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","6","20"," [$100Sat, 06 Jan 1900 16:48:00 +0000] * #,##0.00 "," [$100Sun, 07 Jan 1900 14:24:00 +0000] * #,##0.00 ","Osram","Active","0","0"
"BP0006","Cuffs","01-2002-1001-003","Cuff Cylindrical 34 Ats","Common","Unit","One Off","Company Site Office","","Biomedical","No","1","2"," [$201Sun, 03 Feb 1901 00:00:00 +0000] * #,##0.00 "," [$401Thu, 04 Apr 1901 00:00:00 +0000] * #,##0.00 ","Common","Active","","0"
"BP0025","Sensors/ Detectors","01-2203-0601-002","SIPAP MACHINE OXYGEN SENSOR FABIAN OOM204","Fabian","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","12"," [$301Mon, 25 Mar 1901 00:00:00 +0000] * #,##0.00 "," [$401Wed, 24 Apr 1901 00:00:00 +0000] * #,##0.00 ","Acutronic","Active","0","0"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0503-0501-002","SCHILLER 10 LEAD ECG CABLE BANANA TYPE","Cardiovit AT-1","Unit","Just In Time","Company Site Office","","Biomedical","No","1","30"," [$400Sun, 29 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$500Tue, 29 May 1900 00:00:00 +0000] * #,##0.00 ","SCHILLER","Active","0","0"
"BP0003","Bulbs/ Lamps","01-2404-0101-003","Bulb 12V 100W (64627)","Polydoros","Unit","One Off","Company Site Office","","Biomedical","No","3","10"," [$100Wed, 10 Jan 1900 00:00:00 +0000] * #,##0.00 "," [$100Thu, 11 Jan 1900 12:00:00 +0000] * #,##0.00 ","Siemens","Active","","9"
"BP0011","Equipment Specific Parts","01-1619-0200-004","MMS Module","IntelliVue MP70","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","2"," [$507Thu, 23 May 1907 00:00:00 +0000] * #,##0.00 "," [$807Sat, 31 Aug 1907 00:00:00 +0000] * #,##0.00 ","","Active","","3"
"BP0001","Batteries/ UPS","01-0903-0103-005","BATTERY B. BRAUN INFUSOMAT","Infusomat","Unit","One Off","Company Site Office","","Biomedical","No","3","5"," [$700Wed, 18 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$800Tue, 07 Aug 1900 00:00:00 +0000] * #,##0.00 ","B.Braun","Active","","0"
"BP0025","Sensors/ Detectors","01-1603-0102-002","Spo2 Sensor Adult Original DS100A","N-190","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","8","20"," [$201Sun, 03 Feb 1901 00:00:00 +0000] * #,##0.00 "," [$301Tue, 05 Mar 1901 00:00:00 +0000] * #,##0.00 ","Nellcor","Active","","6"
"BP0024","Printed Circuit Boards (PCB; Other than Power Supply)","01-0503-1103-001","MODULE MONTARA AM-12","Eli 280","Unit","Just In Time","Company Site Office","","Biomedical","No","2","5"," [$605Thu, 22 Jun 1905 00:00:00 +0000] * #,##0.00 "," [$406Wed, 18 Apr 1906 00:00:00 +0000] * #,##0.00 ","","Active","","0"
"BP0028","Transducers/ Probes","01-0303-0102-001","Ultrasound Tranducer","M1353a","Unit","Just In Time","Centralized","","Biomedical","No","0","1"," [$703Thu, 23 Jul 1903 00:00:00 +0000] * #,##0.00 "," [$1003Sat, 31 Oct 1903 00:00:00 +0000] * #,##0.00 ","Hewlett Packard","Active","0","2"
"BP0004","Cables/ Lead Wires (or any part of it)","01-1601-1204-006","ECG TRUNK CABLE PROPAQ LT 3 LEAD","Propaq LT","Unit","One Off","Company Site Office","","Biomedical","No","3","5"," [$400Mon, 09 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 ","Welch Allyn","Active","","4"
"BP0004","Cables/ Lead Wires (or any part of it)","01-0102-0104-028","EXTENSION CABLE TRUSIGNAL GE WITH CONNECTOR","Aestiva 5/7100","Unit","One Off","Company Site Office","","Biomedical","No","2","10"," [$400Mon, 09 Apr 1900 00:00:00 +0000] * #,##0.00 "," [$500Fri, 04 May 1900 00:00:00 +0000] * #,##0.00 ","Datex Ohmeda","Active","","3"
"BP0026","Solenoids/ Valves/ Gauges","01-2202-0801-006","RELEASE VALVE DIAPHRAGM","Ref-Vent 100-V","Unit","One Off","Company Site Office","","Biomedical","No","3","15"," [$200Tue, 06 Feb 1900 00:00:00 +0000] * #,##0.00 "," [$200Fri, 09 Feb 1900 00:00:00 +0000] * #,##0.00 ","ULCO","Active","","15"
"BP0025","Sensors/ Detectors","01-2203-0601-003","Oxygen Cell OOM102","Fabian","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","5","10"," [$900Sun, 16 Sep 1900 00:00:00 +0000] * #,##0.00 "," [$1000Sat, 06 Oct 1900 00:00:00 +0000] * #,##0.00 ","Acutronic","Active","","0"
"BP0003","Bulbs/ Lamps","01-1502-0206-002","LED BULB OPHTHALMOSCOPE","","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","2","5"," [$801Thu, 22 Aug 1901 00:00:00 +0000] * #,##0.00 "," [$901Wed, 11 Sep 1901 00:00:00 +0000] * #,##0.00 ","Keeler","Active","","4"
"BP0019","O-Rings/ Belts/ Seals/ Gaskets/ Washers","01-0207-0101-005","YELLOW BELT","Lactina Electric Plus","Unit","Fast Moving Item","Company Site Office","","Biomedical","No","1","5"," [$700Sun, 08 Jul 1900 00:00:00 +0000] * #,##0.00 "," [$700Fri, 13 Jul 1900 00:00:00 +0000] * #,##0.00 ","","Active","","2"
